,county,living,min,poverty,state
0,Autauga County,11.1,7.25,5,Alabama
1,Baldwin County,12.55,7.25,5,Alabama
2,Barbour County,10.54,7.25,5,Alabama
3,Bibb County,11.62,7.25,5,Alabama
4,Blount County,11.62,7.25,5,Alabama
5,Bullock County,10.47,7.25,5,Alabama
6,Butler County,10.29,7.25,5,Alabama
7,Calhoun County,10.12,7.25,5,Alabama
8,Chambers County,10.37,7.25,5,Alabama
9,Cherokee County,10.29,7.25,5,Alabama
10,Chilton County,10.43,7.25,5,Alabama
11,Choctaw County,10.61,7.25,5,Alabama
12,Clarke County,10.62,7.25,5,Alabama
13,Clay County,10.62,7.25,5,Alabama
14,Cleburne County,10.5,7.25,5,Alabama
15,Coffee County,10.83,7.25,5,Alabama
16,Colbert County,10.72,7.25,5,Alabama
17,Conecuh County,10.29,7.25,5,Alabama
18,Coosa County,10.79,7.25,5,Alabama
19,Covington County,10.29,7.25,5,Alabama
20,Crenshaw County,10.38,7.25,5,Alabama
21,Cullman County,10.48,7.25,5,Alabama
22,Dale County,9.97,7.25,5,Alabama
23,Dallas County,10.37,7.25,5,Alabama
24,DeKalb County,11.17,7.25,5,Alabama
25,Elmore County,11.1,7.25,5,Alabama
26,Escambia County,10.62,7.25,5,Alabama
27,Etowah County,10.71,7.25,5,Alabama
28,Fayette County,10.5,7.25,5,Alabama
29,Franklin County,10.5,7.25,5,Alabama
30,Geneva County,10.58,7.25,5,Alabama
31,Greene County,10.47,7.25,5,Alabama
32,Hale County,10.96,7.25,5,Alabama
33,Henry County,10.62,7.25,5,Alabama
34,Houston County,10.58,7.25,5,Alabama
35,Jackson County,9.93,7.25,5,Alabama
36,Jefferson County,11.62,7.25,5,Alabama
37,Lamar County,10.5,7.25,5,Alabama
38,Lauderdale County,10.72,7.25,5,Alabama
39,Lawrence County,10.05,7.25,5,Alabama
40,Lee County,10.81,7.25,5,Alabama
41,Limestone County,10.8,7.25,5,Alabama
42,Lowndes County,11.1,7.25,5,Alabama
43,Macon County,10.35,7.25,5,Alabama
44,Madison County,10.8,7.25,5,Alabama
45,Marengo County,10.34,7.25,5,Alabama
46,Marion County,10.29,7.25,5,Alabama
47,Marshall County,10.29,7.25,5,Alabama
48,Mobile County,12.02,7.25,5,Alabama
49,Monroe County,10.5,7.25,5,Alabama
